x,y
78,86
419,91
755,84
1095,83
1432,82
1770,77
2111,73
83,428
420,425
759,423
1094,418
1412,418
1771,412
2105,414
84,763
420,760
759,756
1095,752
1433,752
1772,748
2107,750
86,1069
419,1093
757,1089
1095,1086
1437,1085
1775,1083
2113,1083
86,1432
420,1425
757,1423
1099,1421
1439,1420
1779,1418
2113,1421
86,1770
420,1764
759,1761
1100,1759
1440,1759
1780,1756
2119,1757
87,2105
421,2102
758,2101
1102,2098
1443,2098
1784,2096
2119,2098
88,2442
421,2442
760,2439
1103,2438
1445,2437
1785,2435
2124,2434
90,2781
424,2778
763,2779
1102,2778
1443,2776
1787,2774
2123,2775
91,3118
429,3116
768,3117
1104,3115
1446,3116
1787,3113
2123,3111
95,3425
430,3453
768,3453
1108,3450
1448,3449
1786,3449
2125,3448
95,3791
432,3789
769,3789
1109,3788
1449,3788
1787,3787
2126,3789
91,4132
434,4130
771,4125
1111,4124
1452,4124
1793,4129
2133,4130
